system,method,noise,mean,sd,n,median,maximum,axis,axis_value,sparse_factor
advection_diffusion,baseline,0.01,0.026589502060515358,0.0033813164921043934,15,0.0254158003278884,0.0326482092226222,noise,0.01,
advection_diffusion,baseline,0.03,0.10674153144197761,0.010273943524249358,15,0.1033813329843158,0.1228593624856552,noise,0.03,
advection_diffusion,baseline,0.05,0.23184095244286784,0.014661490551166088,15,0.2273309257759347,0.2646363450010434,noise,0.05,
advection_diffusion,baseline,0.1,0.5458450369953002,0.022144231915955923,15,0.545437682542713,0.5791707517520495,noise,0.1,
advection_diffusion,optdmd,0.01,0.027244455010691882,0.004751938464469662,15,0.0280514512566993,0.0327910230761945,noise,0.01,
advection_diffusion,optdmd,0.03,0.025329975554293036,0.0034475827299669773,15,0.0267807805736652,0.0303041374682474,noise,0.03,
advection_diffusion,optdmd,0.05,0.03772401767653119,0.01997319667285315,15,0.028929320045746,0.0726239399418557,noise,0.05,
advection_diffusion,optdmd,0.1,0.13802083832220116,0.07666106339463837,15,0.1204940844226458,0.2932008967892573,noise,0.1,
advection_diffusion,pod_edmd_rbf,0.01,0.012014970129372034,0.008701603501756057,15,0.0170962967042813,0.0204404892693728,noise,0.01,
advection_diffusion,pod_edmd_rbf,0.03,0.031844132429510535,0.008328790804723504,15,0.0309849588610376,0.045470898058868,noise,0.03,
advection_diffusion,pod_edmd_rbf,0.05,0.06325248736217243,0.027591238221121202,15,0.0565666208919332,0.1097472354191816,noise,0.05,
advection_diffusion,pod_edmd_rbf,0.1,0.23585427324392824,0.14078330674077386,15,0.1994373533759298,0.6089856608818479,noise,0.1,
burgers,baseline,0.0,0.012181623353737975,0.014548485318828491,32,0.00591231024077165,0.0363096327247122,noise,0.0,
burgers,baseline,0.01,0.17510577757875942,0.015356456940309952,32,0.16645689193279845,0.2047016786056425,noise,0.01,
burgers,baseline,0.03,0.2995235018459821,0.012763028919319732,32,0.2976387412717845,0.3292531160071181,noise,0.03,
burgers,baseline,0.05,0.46124765267490303,0.019637875330761983,32,0.46045844929745755,0.5131880260089501,noise,0.05,
burgers,baseline,0.1,0.7369962309443886,0.024739042753213633,32,0.7335293998245007,0.7812432574716165,noise,0.1,
burgers,pod_edmd_rbf,0.0,0.002951662238199231,0.0012644537246135814,32,0.0021939508605551,0.005105303469445,noise,0.0,
burgers,pod_edmd_rbf,0.01,0.062401539578292003,0.06123042771776488,32,0.0367469229399413,0.2051721625511769,noise,0.01,
burgers,pod_edmd_rbf,0.03,0.2556454684542112,0.12436351391177475,32,0.2235308928999159,0.7708275267233632,noise,0.03,
